timestamp,cpu_usage,memory_usage,restart_count,error_rate,response_time,recent_deployment,pod_status,deployment_status,log_error_count,event_count,health_status,failure_type,failure_label
2026-08-20T09:30:00.000Z,24.5,38.2,0,0.2,0.12,0,Running,Healthy,0,1,Healthy,Normal,0
2026-08-20T09:38:00.000Z,28.1,42.0,0,0.0,0.15,0,Running,Healthy,1,0,Healthy,Normal,0
2026-08-20T09:46:00.000Z,31.4,45.8,0,0.4,0.18,0,Running,Healthy,0,0,Healthy,Normal,0
2026-08-20T09:54:00.000Z,22.0,35.1,0,0.1,0.11,0,Running,Healthy,0,1,Healthy,Normal,0
2026-08-20T10:02:00.000Z,18.9,32.4,0,0.0,0.09,0,Running,Healthy,0,0,Healthy,Normal,0
2026-08-20T10:10:00.000Z,42.1,58.3,5,88.4,4.52,1,CrashLoopBackOff,Degraded,28,14,Unhealthy,CrashLoopBackOff,1
2026-08-20T10:18:00.000Z,38.5,52.0,6,92.1,5.10,1,CrashLoopBackOff,Degraded,34,18,Unhealthy,CrashLoopBackOff,1
2026-08-20T10:26:00.000Z,45.0,61.2,7,84.0,4.85,1,CrashLoopBackOff,Degraded,31,16,Unhealthy,CrashLoopBackOff,1
2026-08-20T10:34:00.000Z,25.4,40.1,0,0.2,0.14,0,Running,Healthy,1,0,Healthy,Normal,0
2026-08-20T10:42:00.000Z,29.8,44.5,0,0.3,0.16,0,Running,Healthy,0,1,Healthy,Normal,0
2026-08-20T10:50:00.000Z,72.4,96.8,3,45.2,3.40,0,OOMKilled,Degraded,12,11,Unhealthy,OOMKilled,1
2026-08-20T10:58:00.000Z,78.9,98.5,4,62.0,4.12,0,OOMKilled,Degraded,16,14,Unhealthy,OOMKilled,1
2026-08-20T11:06:00.000Z,26.2,39.0,0,0.1,0.13,0,Running,Healthy,0,0,Healthy,Normal,0
2026-08-20T11:14:00.000Z,94.2,65.4,1,28.5,3.85,0,Running,Degraded,8,9,Degraded,High CPU,1
2026-08-20T11:22:00.000Z,96.8,70.1,0,34.2,4.20,0,Running,Degraded,11,10,Degraded,High CPU,1
2026-08-20T11:30:00.000Z,21.5,36.4,0,0.0,0.10,0,Running,Healthy,0,0,Healthy,Normal,0
2026-08-20T11:38:00.000Z,18.2,30.5,1,95.0,6.40,1,ImagePullBackOff,Failed,22,15,Failed,Failed deployment,1
2026-08-20T11:46:00.000Z,24.0,38.5,0,0.2,0.15,0,Running,Healthy,0,1,Healthy,Normal,0
2026-08-20T11:54:00.000Z,48.0,52.1,2,64.0,4.80,0,Running,Degraded,26,8,Unhealthy,Application health failure,1
2026-08-20T12:02:00.000Z,20.1,34.8,3,90.0,3.90,1,CreateContainerConfigError,Failed,18,12,Failed,Configuration error,1
